iter	RMSE
166	1.821990862
167	1.817670715
168	1.810771015
169	1.79842172
170	1.794304914
171	1.779589391
172	1.773623858
173	1.761572665
174	1.751691323
175	1.744478156
176	1.740044621
177	1.736475864
178	1.724433911
179	1.720984075
180	1.717411801
181	1.710931463
182	1.708007453
183	1.70267021
184	1.699332334
185	1.694352236
186	1.691274974
187	1.685873737
188	1.675345414
189	1.672409366
190	1.668980816
191	1.665752633
192	1.662379977
193	1.6587968
194	1.655412711
195	1.6486589
196	1.639208681
197	1.633787417
198	1.631246397
199	1.627824935
200	1.614625646
201	1.611753406
202	1.608827507
203	1.606379522
204	1.602531092
205	1.589710742
206	1.582463939
207	1.578235902
208	1.575633849
209	1.568854402
210	1.566078003
211	1.55582565
212	1.553303369
213	1.541595846
214	1.538946157
215	1.536627081
216	1.531218546
217	1.529358579
218	1.526300003
219	1.524499729
220	1.516735875
221	1.514644986
222	1.50476844
223	1.496530034
224	1.492174724
225	1.490262681
226	1.487236686
227	1.48538495
228	1.476312082
229	1.473470756
230	1.463911281
231	1.462413766
232	1.453453465
233	1.451883423
234	1.450460061
235	1.449017333
236	1.442355919
237	1.434165821
238	1.432718843
239	1.428452285
240	1.421938466
241	1.416002053
242	1.407989604
243	1.406515192
244	1.404520633
245	1.403120225
246	1.39732393
247	1.393391194
248	1.391707483
249	1.390377367
250	1.384408696
251	1.383299127
252	1.382260502
253	1.381141709
254	1.375531111
255	1.372667751
256	1.371401046
257	1.36707965
258	1.365742952
259	1.360227829
260	1.358045641
261	1.356765538
262	1.355662733
263	1.349042967
264	1.34568296
265	1.344812247
266	1.343960316
267	1.342895692
268	1.33975127
269	1.338625818
270	1.33206919
271	1.329061756
272	1.323059757
273	1.317761525
274	1.316801545
275	1.311555668
276	1.307962907
277	1.30695818
278	1.305967055
279	1.301210686
280	1.29655247
281	1.295603984
282	1.294675278
283	1.290040004
284	1.28710853
285	1.283144625
286	1.279384
287	1.278523634
288	1.277708616
289	1.275032041
290	1.274293379
291	1.269530948
292	1.268766554
293	1.268094991
294	1.265511003
295	1.263197235
296	1.26248027
297	1.260553803
298	1.259861295
299	1.253493819
300	1.252864849
301	1.248135938
302	1.244456687
303	1.240550999
304	1.238552872
305	1.23791878
306	1.233730074
307	1.229948342
308	1.227692828
309	1.227092448
310	1.224505082
311	1.223965993
312	1.219395454
313	1.215401519
314	1.210526132
315	1.206411835
316	1.204472729
317	1.201561258
318	1.198371664
319	1.193137774
320	1.189722443
321	1.189143261
322	1.186424428
323	1.185913789
324	1.183850096
325	1.178320412
326	1.176152076
327	1.173508803
328	1.170779486
329	1.170224454
330	1.169665877
331	1.166464952
332	1.16293476
333	1.162522872
334	1.157975938
335	1.157229136
336	1.152059676
337	1.149329457
338	1.146304678
339	1.142393543
340	1.14004377
341	1.137218796
342	1.135073036
343	1.134649209
344	1.134281688
345	1.130045751
346	1.125398405
347	1.125042947
348	1.122653009
349	1.118770609
350	1.11588691
351	1.11317239
352	1.109287003
353	1.104070407
354	1.100735942
355	1.098491486
356	1.095798297
357	1.092430944
358	1.088984707
359	1.086815878
360	1.084242718
361	1.081720965
362	1.079361616
363	1.078010995
364	1.07628504
365	1.074187514
366	1.071414948
367	1.068459328
368	1.063898307
369	1.062716278
370	1.060844424
371	1.057134086
372	1.055306808
373	1.05115997
374	1.049635067
375	1.045340921
376	1.042336073
377	1.038380206
378	1.035449894
379	1.032300765
380	1.028827616
381	1.02588107
382	1.023026125
383	1.020295632
384	1.017108117
385	1.014115359
386	1.009870959
387	1.004557809
388	1.002646339
389	0.9994413464
390	0.9971291351
391	0.9943662548
392	0.9906497901
393	0.9884105044
394	0.9849339145
395	0.9813031159
396	0.9780997064
397	0.9753368739
398	0.9733058679
399	0.9710343252
400	0.9689826217
401	0.9660832635
402	0.9639309186
403	0.9622119655
404	0.9583813204
405	0.9550067259
406	0.952767989
407	0.9492863879
408	0.946598125
409	0.9444040579
410	0.942496719
411	0.9409803129
412	0.9383935437
413	0.9361130558
414	0.9341447167
415	0.9318190895
416	0.9298464933
417	0.9274788914
418	0.9257260137
419	0.9238038793
420	0.9205526542
421	0.9173370451
422	0.9157287091
423	0.9145448596
424	0.9112410403
425	0.9086874125
426	0.9063952076
427	0.9044338006
428	0.902871133
429	0.8996969835
430	0.895925137
431	0.8944189907
432	0.8915399739
433	0.8885955464
434	0.8857325968
435	0.8826396083
436	0.8814667884
437	0.8790670968
438	0.8762551513
439	0.8727672221
440	0.8696932585
441	0.8678018795
442	0.8660797558
443	0.8637165618
444	0.8616419381
445	0.8590451084
446	0.8562331805
447	0.8532425459
448	0.8507847097
449	0.8486803026
450	0.8467559911
451	0.8442687882
452	0.842426973
453	0.8412981431
454	0.8392830553
455	0.836619792
456	0.8345693282
457	0.8326632088
458	0.8309020082
459	0.8289890784
460	0.8266899261
461	0.8247022054
462	0.8225078579
463	0.8204236429
464	0.8188443732
465	0.8168658271
466	0.8154240931
467	0.813086415
468	0.8110400663
469	0.8087686956
470	0.8062908024
471	0.8046296896
472	0.8024963704
473	0.7995450801
474	0.7980294511
475	0.7957835323
476	0.7937530103
477	0.7924545913
478	0.7915103819
479	0.790197685
480	0.7883724696
481	0.7869595226
482	0.78588517
483	0.7842442239
484	0.7823345296
485	0.7811804763
486	0.7798790537
487	0.7776517109
488	0.7754093973
489	0.7731920397
490	0.7721017162
491	0.7698429796
492	0.7682823749
493	0.7672027835
494	0.7648058916
495	0.7635126535
496	0.761596631
497	0.7597321773
498	0.7588204529
499	0.7570249517
500	0.7561285789
501	0.7539178912
502	0.7516592788
503	0.7507250441
504	0.7490209716
505	0.746903159
506	0.745530748
507	0.7446275945
508	0.7429007064
509	0.7407110096
510	0.7386369292
511	0.7364650455
512	0.7355883314
513	0.7335116821
514	0.7319184961
515	0.7302930626
516	0.7295852749
517	0.7278966836
518	0.7264725883
519	0.7249561969
520	0.7241040839
521	0.7225373252
522	0.7208404196
523	0.7197413325
524	0.7185574908
525	0.7164287238
526	0.7151435792
527	0.7139249948
528	0.7126178636
529	0.7108875777
530	0.7097523866
531	0.7086462784
532	0.7071196672
533	0.7057249495
534	0.7038974871
535	0.7026065671
536	0.7006923726
537	0.6998954593
538	0.6981179708
539	0.6964724756
540	0.6946347911
541	0.6930941157
542	0.6907481252
543	0.690105248
544	0.6890747422
545	0.6875665762
546	0.6863846248
547	0.6843102414
548	0.6837030678
549	0.6819548443
550	0.6812770727
551	0.680181079
552	0.6783302555
553	0.6766883552
554	0.674609646
555	0.6734726992
556	0.6721028576
557	0.6702760929
558	0.6696734365
559	0.6690597294
560	0.6678316705
561	0.666439752
562	0.6653547752
563	0.6636066896
564	0.6620150949
565	0.6605561916
566	0.6592726649
567	0.6583538984
568	0.6571079472
569	0.6561722379
570	0.6558360344
571	0.6550132389
572	0.6538300897
573	0.6529177383
574	0.6519495257
575	0.651360852
576	0.6497918145
577	0.649040912
578	0.6483185645
579	0.6468720628
580	0.6461233315
581	0.6449444309
582	0.6444662948
583	0.6436196331
584	0.643121088
585	0.6416532969
586	0.6398113702
587	0.6383515896
588	0.6375220143
589	0.6367300463
590	0.6356646008
591	0.6343643915
592	0.6333012139
593	0.6318754812
594	0.6314529039
595	0.6299874984
596	0.6284706762
597	0.6270732598
598	0.6262876663
599	0.6256895909
600	0.6249409298
601	0.6234422213
602	0.6219817558
603	0.6202397576
604	0.6187160608
605	0.6178696655
606	0.6166967319
607	0.6154593049
608	0.6139888301
609	0.6126734202
610	0.6119173309
611	0.6107190657
612	0.6090993907
613	0.6080339347
614	0.6068537667
615	0.6056816175
616	0.6046223109
617	0.6037874817
618	0.6027208259
619	0.6021057226
620	0.6008524816
621	0.5998011984
622	0.5991302103
623	0.5985451531
624	0.597866376
625	0.5963338943
626	0.5949419335
627	0.5941886732
628	0.5929197019
629	0.5913977369
630	0.5897358241
631	0.5892893801
632	0.5879550755
633	0.5873798074
634	0.5868201491
635	0.5853303733
636	0.5846859302
637	0.5830676552
638	0.5820817864
639	0.5807270908
640	0.5803560931
641	0.5792771795
642	0.5788740587
643	0.5775029541
644	0.5765776736
645	0.5753199265
646	0.574128284
647	0.573575239
648	0.5728809713
649	0.5725377654
650	0.5721109494
651	0.5709524862
652	0.5703216405
653	0.5689230433
654	0.5673410729
655	0.5664471718
656	0.5654228281
657	0.5643176657
658	0.5631412784
659	0.5627186272
660	0.562137881
661	0.5616447149
662	0.5607703908
663	0.5592765664
664	0.5581538639
665	0.5571528834
666	0.5565945084
667	0.5559273997
668	0.5554709228
669	0.554983898
670	0.5536813088
671	0.5528384007
672	0.5513687835
673	0.5502929858
674	0.5490079011
675	0.5481013729
676	0.5469687076
677	0.5457477767
678	0.5444830005
679	0.5441882682
680	0.5436238736
681	0.5428956448
682	0.5425322608
683	0.541459892
684	0.5405639637
685	0.539176627
686	0.5387265521
687	0.5380898665
688	0.5371396939
689	0.5362704339
690	0.5353122292
691	0.5344379654
692	0.5335765737
693	0.5329408516
694	0.532495459
695	0.5318218893
696	0.5313102618
697	0.5307938086
698	0.5304570155
699	0.5295750085
700	0.5285658864
701	0.5282815933
702	0.527809755
703	0.52652317
704	0.525600543
705	0.5244518248
706	0.5237300481
707	0.5230487606
708	0.5218408773
709	0.521391489
710	0.5205859348
711	0.5196526707
712	0.5187903766
713	0.5176957734
714	0.5171112543
715	0.5161862958
716	0.5148882373
717	0.5139242508
718	0.5129722407
719	0.5121774488
720	0.5112002548
721	0.5100607953
722	0.5093408789
723	0.5086997967
724	0.5076643088
725	0.5069502418
726	0.5057047996
727	0.5047882245
728	0.5039010117
729	0.5030008648
730	0.5019927114
731	0.501369265
732	0.5004662806
733	0.4994640947
734	0.4991777583
735	0.4987729689
736	0.4984176038
737	0.4975324207
738	0.4972449989
739	0.4963074783
740	0.4960121912
741	0.4954705362
742	0.4949870444
743	0.4937547069
744	0.4930164778
745	0.4923130907
746	0.4917424127
747	0.4912412287
748	0.4903404192
749	0.4895366698
750	0.4889381775
751	0.4884061596
752	0.488034652
753	0.4871441491
754	0.4860389866
755	0.4854338907
756	0.4847231328
757	0.4841217062
758	0.4829993279
759	0.4819183655
760	0.4811084712
761	0.4803595217
762	0.479413099
763	0.4790058505
764	0.4783236625
765	0.4775234858
766	0.476866863
767	0.4762346184
768	0.4757522687
769	0.4750137111
770	0.4747320949
771	0.473919883
772	0.4734049539
773	0.4725359624
774	0.4715093167
775	0.470776823
776	0.4699147404
777	0.4689577794
778	0.4682639635
779	0.4675124315
780	0.4668676151
781	0.4665414902
782	0.4658032522
783	0.4649944001
784	0.4642421052
785	0.4637875907
786	0.4634123057
787	0.4631262323
788	0.4622396511
789	0.4616332581
790	0.4607989594
791	0.4603989367
792	0.4597300151
793	0.4589427481
794	0.4581511817
795	0.4572449403
796	0.4563870489
797	0.4555339164
798	0.454758218
799	0.4544663717
800	0.4535214851
801	0.4532515059
802	0.452256905
803	0.4518139546
804	0.4512569659
805	0.4505060186
806	0.4502167878
807	0.449682012
808	0.4492072096
809	0.4484821816
810	0.4482211088
811	0.4473742831
812	0.4467928733
813	0.4459530138
814	0.4451156206
815	0.4447939235
816	0.4440125336
817	0.4432272693
818	0.4424738023
819	0.4420930862
820	0.4416906238
821	0.4411922161
822	0.4406458036
823	0.4403109345
824	0.4401372929
825	0.4394919878
826	0.4389524585
827	0.4384098482
828	0.4379596028
829	0.4372427811
830	0.4363593444
831	0.4356311091
832	0.4352336886
833	0.4344514221
834	0.4341376027
835	0.4335206042
836	0.4329882432
837	0.4322576363
838	0.4320173479
839	0.4316085276
840	0.4306857883
841	0.4303434917
842	0.4300341781
843	0.4293068295
844	0.4286577315
845	0.4279753289
846	0.4273467086
847	0.4265138139
848	0.4257011181
849	0.4251926409
850	0.4249116189
851	0.424423814
852	0.4240276136
853	0.4232440742
854	0.4223998514
855	0.4217557343
856	0.4211536384
857	0.4206287384
858	0.4202330183
859	0.4194736172
860	0.4189376391
861	0.4183442659
862	0.4177698043
863	0.4170599573
864	0.4167320215
865	0.416045826
866	0.4156772558
867	0.415148211
868	0.4144675358
869	0.4140605689
870	0.4133347787
871	0.4130424922
872	0.4124784779
873	0.4116929929
874	0.4111369024
875	0.4105537304
876	0.4098360189
877	0.4095578409
878	0.4089147597
879	0.4082324576
880	0.4073417936
881	0.4070497559
882	0.4068299267
883	0.4061960456
884	0.4055324675
885	0.405016927
886	0.4042468828
887	0.4035767593
888	0.4031368922
889	0.4026895869
890	0.4024625143
891	0.4017214496
892	0.4015054984
893	0.4012015111
894	0.4005283902
895	0.3997362306
896	0.3993160473
897	0.3991289101
898	0.3987474413
899	0.3980665849
900	0.3976035017
901	0.3972472811
902	0.3966282936
903	0.3960205048
904	0.3955745694
905	0.3951104584
906	0.3948607865
907	0.3945874503
908	0.3938704556
909	0.3932923205
910	0.3929021635
911	0.3922755403
912	0.3915728519
913	0.3912636438
914	0.390857003
915	0.3905492999
916	0.3900265642
917	0.389428824
918	0.3891906562
919	0.3884705028
920	0.3879647033
921	0.3874912925
922	0.3871282678
923	0.3866392542
924	0.3860312099
925	0.3857829831
926	0.3855598849
927	0.3850574436
928	0.3844431118
929	0.3837424051
930	0.3832555002
931	0.3827490791
932	0.3823747553
933	0.3819200404
934	0.3815782185
935	0.3813136081
936	0.3809324985
937	0.3803295034
938	0.3798432772
939	0.379608404
940	0.3793365521
941	0.3788540617
942	0.3783177979
943	0.3780860688
944	0.3775741322
945	0.3768824196
946	0.3762893527
947	0.3757672835
948	0.3756261607
949	0.3751560379
950	0.3750260964
951	0.3744266459
952	0.3738574629
953	0.3734561824
954	0.3729587695
955	0.3725523254
956	0.3721414034
957	0.371644384
958	0.3714636192
959	0.3707373506
960	0.3701413828
961	0.3694528671
962	0.3689291782
963	0.36846567
964	0.3678858125
965	0.3676252448
966	0.3670984242
967	0.3665632524
968	0.3659859541
969	0.3655984091
970	0.3653397208
971	0.3648790636
972	0.3645530978
973	0.3642376573
974	0.363957884
975	0.3636119034
976	0.3632528429
977	0.3629576312
978	0.3624438561
979	0.3619358223
980	0.3617763915
981	0.3614430585
982	0.3609206174
983	0.3605339675
984	0.3603769665
985	0.3601927168
986	0.3596566029
987	0.3591427896
988	0.3587061396
989	0.3582218741
990	0.357902374
991	0.3572879564
992	0.3568079222
993	0.356344753
994	0.3556970066
995	0.355387109
996	0.3546943526
997	0.3540938974
998	0.3536780683
999	0.3530575585
